Latitude,Longitude,Date,"Local 
Time",Week No.,PitID,State,Location,Site,HN (cm) A,HN (cm) B,HN (cm) C,SWE (mm) A,SWE (mm) B,SWE (mm) C,DEN (kg/m^3) A,DEN (kg/m^3) B,DEN (kg/m^3) C,Melt,Comments,avg HN (cm),avg SWE (mm),avg DEN (kg/m^3)
44.30309,-115.23465,2021-02-10,11:26,5,IDBRL6,ID,Boise River Basin,LR_6,10.0,9.0,9.5,10.0,9.0,11.0,100.0,100.0,115.0,No,"LR_6 was done before LR_5, but very close in time. ",9.5,10.0,106.0
44.30309,-115.23465,2021-02-25,10:50,7,IDBRL6,ID,Boise River Basin,LR_6,26.0,26.0,26.0,35.0,35.0,33.0,135.0,135.0,126.0,No, ,26.0,34.0,131.0
44.30309,-115.23465,2021-03-03,10:00,8,IDBRL6,ID,Boise River Basin,LR_6,13.0,14.0,15.0,25.0,23.0,24.0, , , ,Yes, ,14.0,24.0,172.0
44.30309,-115.23465,2021-03-10,13:41,9,IDBRL6,ID,Boise River Basin,LR_6,9.0,9.0,10.0,12.0,13.0,13.0,133.0,144.0,130.0,Yes, ,9.3,13.0,140.0
44.30309,-115.23465,2021-03-17,11:20,10,IDBRL6,ID,Boise River Basin,LR_6,0.0, , ,0.0, , , , , ,No, ,0.0,0.0, 
44.30309,-115.23465,2021-03-22,14:00,11,IDBRL6,ID,Boise River Basin,LR_6,21.0,21.0,21.0,29.0,29.0,30.0,138.0,138.0,143.0,Yes, ,21.0,29.0,139.0
44.29675,-115.23961,2021-01-28,14:00,3,IDBRL7,ID,Boise River Basin,LR_7,35.0,35.0,35.0,23.0,23.0,24.0,66.0,66.0,69.0,No, ,35.0,23.0,66.0
44.29675,-115.23961,2021-02-04,12:22,4,IDBRL7,ID,Boise River Basin,LR_7,36.0,37.0,36.0,37.0,38.0,37.0,103.0,103.0,103.0,No, ,36.3,37.0,102.0
44.29675,-115.23961,2021-02-10,13:50,5,IDBRL7,ID,Boise River Basin,LR_7,8.0,8.0,8.5,9.0,9.5,11.0,113.0,119.0,129.0,No, ,8.2,10.0,122.0
44.29675,-115.23961,2021-02-25,14:00,7,IDBRL7,ID,Boise River Basin,LR_7,30.0,30.0,29.0,43.0,40.0,42.0,143.0,133.0,145.0,No, ,29.7,42.0,142.0
