Location,Latitude,Longitude
Boise River Basin,43.9841533606557,-115.67214577868843
Cameron Pass,40.54376666666667,-105.87809999999996
Fraser,39.91255999999995,-105.87731802197807
Senator Beck,37.87630799999999,-107.70762399999994
