Location,Latitude,Longitude
American River Basin,38.71027,-120.04187200000001
Boise River Basin,43.95523844036697,-115.71591064220179
Cameron Pass,40.52562928571428,-105.88987928571429
East River,38.92159176470588,-107.0527023529412
Grand Mesa,39.03778058823531,-108.04795529411766
Jemez River,35.87207076923077,-106.5262076923077
Niwot Ridge,40.0404375,-105.56098750000001
Sagehen Creek,39.427660588235284,-120.25802647058825
Senator Beck,37.90711166666667,-107.71622833333332
